#,School Name,District,Block Name,UDISE ID
108368,UPS BHAESKUR,AZAMGARH,THEKMA,9612102102
108369,UPS BHAGAN PUR,PRAYAGRAJ,KARCHHANA,9451801801
108370,UPS BHAGAURA (COMPOSITE),JALAUN,MAHEVA,9350704302
108371,UPS BHAGAUSA,SANT KABIR NAGAR,BELHAR KALA,9562101302
108372,UPS BHAGAUTIPUR,SANT KABIR NAGAR,NATHNAGAR,9562016001
108373,UPS BHAGAUTIPUR COMPOSITE (1TO8),SITAPUR,RAMPURMATHURA,9241607802
108374,UPS BHAGAVANPUR,CHANDAULI,CHAHANIYA,9660313002
108375,UPS BHAGAWAN PUR,BALRAMPUR,GAINSARI,9522304202
108376,UPS BHAGBANTPUR COMPOSITE (1 TO 8),RAMPUR,SHAHBAD,9050107103
108377,UPS BHAGESAR,PRAYAGRAJ,KORAON,9451001601
108378,UPS BHAGIPUR,SITAPUR,RAMPURMATHURA,9241605202
108379,UPS BHAGNER,FIROZABAD,EKA,9160903302
108380,UPS BHAGTA COMPOSITE,SANT KABIR NAGAR,KHALILABAD,9561503502
108381,UPS BHAGVANPUR,SANT KABIR NAGAR,BAGHAULI,9561602802
108382,UPS BHAGVANPURA (COMPOSITE),JALAUN,MADHAUGADH,9350611002
108383,UPS BHAGWAN PURA,ETAH,ALIGANJ,9170111703
108384,UPS BHAGWANPUR BALRAMPUR,BAREILLY,FARIDPUR,9201505802
108385,UPS BHAGWANPUR GRANT2 COMPOSITE (1TO8),SITAPUR,MAHOLI,9241106803
108386,UPS BHAGWANTAPUR,BAREILLY,BHUTA,9200309402
108387,UPS BHAGWANTPUR,ETAH,SAKEET,9171200703
108388,UPS BHAGWANTPUR COMPOSITE (1TO8),SITAPUR,PAHALA,9241307603
108389,UPS BHAGWATIPUR,BAREILLY,VITHARI CHAINPUR,9201807502
108390,UPS BHAIDPUR COMPOSIT,AURAIYA,AIRWAKATRA,9320407202
108391,UPS BHAIMATI (1 to 8 Composite School),ALIGARH,LODHA,9121012202
108392,UPS BHAINSHARA,UNNAO,SAFIPUR,9260403603
108393,UPS BHAINSMARI,HAMIRPUR (U.P.),MAUDHA,9380303703
108394,UPS BHAIPUR,BULANDSHAHR,BULANDSHAHR,9110102002
108395,UPS BHAIRAM PUR,RAE BARELI,BACHHRAWAN,9280404902
108396,UPS BHAIRAMPUR COMPOJIT(1 To 8),KHERI,NIGHASAN,9230900121
108397,UPS BHAIRPURA,BAREILLY,RICHHA(DAMKHODA),9200507902
108398,UPS BHAIRPURA,BAREILLY,BHOJIPURA,9201106002
